"","date","tweet"
"215",2016-01-20,1835
"216",2016-01-21,2283
"217",2016-01-22,1847
"218",2016-01-23,1382
"219",2016-01-24,1541
"220",2016-01-25,3001
"221",2016-01-26,2006
"222",2016-01-27,1911
"223",2016-01-28,2220
"224",2016-01-29,4128
"225",2016-01-30,1455
"226",2016-01-31,1378
"227",2016-02-01,2842
"228",2016-02-02,2262
"229",2016-02-03,2939
"230",2016-02-04,2984
"231",2016-02-05,3827
"232",2016-02-06,2589
"233",2016-02-07,2445
"234",2016-02-08,3012
"235",2016-02-09,3107
"236",2016-02-10,3439
"237",2016-02-11,2773
"238",2016-02-12,2246
"239",2016-02-13,2932
"240",2016-02-14,2427
"241",2016-02-15,2130
"242",2016-02-16,2284
"243",2016-02-17,2973
"244",2016-02-18,4284
"245",2016-02-19,3236
"246",2016-02-20,2574
"247",2016-02-21,2318
"248",2016-02-22,3990
"249",2016-02-23,2138
"250",2016-02-24,2575
"251",2016-02-25,3926
"252",2016-02-26,5106
"253",2016-02-27,1814
"254",2016-02-28,1670
"255",2016-02-29,4928
"256",2016-03-01,2353
"257",2016-03-02,2065
"258",2016-03-03,2011
"259",2016-03-04,2626
"260",2016-03-05,2730
"261",2016-03-06,1628
"262",2016-03-07,2438
"263",2016-03-08,2607
"264",2016-03-09,3036
"265",2016-03-10,2895
"266",2016-03-11,2599
"267",2016-03-12,2944
"268",2016-03-13,1940
"269",2016-03-14,2434
"270",2016-03-15,2541
"271",2016-03-16,2981
"272",2016-03-17,3423
"273",2016-03-18,2408
"274",2016-03-19,1992
"275",2016-03-20,1739
"276",2016-03-21,2807
"277",2016-03-22,6860
"278",2016-03-23,2231
"279",2016-03-24,2269
"280",2016-03-25,1975
"281",2016-03-26,1320
"282",2016-03-27,1603
"283",2016-03-28,2898
"284",2016-03-29,2557
"285",2016-03-30,2100
"286",2016-03-31,3181
"287",2016-04-01,2163
"288",2016-04-02,1548
"289",2016-04-03,1466
"290",2016-04-04,2008
"291",2016-04-05,2189
"292",2016-04-06,3388
"293",2016-04-07,1994
"294",2016-04-08,2073
"295",2016-04-09,2262
"296",2016-04-10,1449
"297",2016-04-11,2290
"298",2016-04-12,1926
"299",2016-04-13,3078
"300",2016-04-14,2228
"301",2016-04-15,1826
"302",2016-04-16,1515
"303",2016-04-17,2245
"304",2016-04-18,2974
"305",2016-04-19,1823
"306",2016-04-20,3321
"307",2016-04-21,2353
"308",2016-04-22,2078
"309",2016-04-23,1298
"310",2016-04-24,1335
"311",2016-04-25,2881
"312",2016-04-26,2137
"313",2016-04-27,2843
"314",2016-04-28,2241
"315",2016-04-29,2454
"316",2016-04-30,2234
"317",2016-05-01,1526
"318",2016-05-02,2202
"319",2016-05-03,2643
"320",2016-05-04,4198
"321",2016-05-05,2182
"322",2016-05-06,1994
"323",2016-05-07,2662
"324",2016-05-08,3414
"325",2016-05-09,1517
"326",2016-05-10,2009
"327",2016-05-11,3834
"328",2016-05-12,3814
"329",2016-05-13,2138
"330",2016-05-14,1488
"331",2016-05-15,2723
"332",2016-05-16,4359
"333",2016-05-17,1776
"334",2016-05-18,2341
"335",2016-05-19,2859
"336",2016-05-20,2578
"337",2016-05-21,1413
"338",2016-05-22,1529
"339",2016-05-23,3294
"340",2016-05-24,2669
"341",2016-05-25,2549
"342",2016-05-26,1696
"343",2016-05-27,2904
"344",2016-05-28,2625
"345",2016-05-29,1556
"346",2016-05-30,2552
"347",2016-05-31,2609
"348",2016-06-01,4590
"349",2016-06-02,1557
"350",2016-06-03,2394
"351",2016-06-04,1762
"352",2016-06-05,1198
"353",2016-06-06,1705
"354",2016-06-07,2165
"355",2016-06-08,4627
"356",2016-06-09,3929
"357",2016-06-10,1902
"358",2016-06-11,1270
"359",2016-06-12,1893
"360",2016-06-13,3856
"361",2016-06-14,1677
"362",2016-06-15,2753
"363",2016-06-16,3458
"364",2016-06-17,3765
"365",2016-06-18,1317
"366",2016-06-19,1875
"367",2016-06-20,5082
"368",2016-06-21,4636
"369",2016-06-22,1597
"370",2016-06-23,3335
"371",2016-06-24,2654
"372",2016-06-25,2045
"373",2016-06-26,1276
"374",2016-06-27,2905
"375",2016-06-28,2211
"376",2016-06-29,3758
"377",2016-06-30,1628
"378",2016-07-01,1438
"379",2016-07-02,2538
"380",2016-07-03,1043
"381",2016-07-04,1205
"382",2016-07-05,1473
"383",2016-07-06,2691
"384",2016-07-07,3819
"385",2016-07-08,1405
"386",2016-07-09,1101
"387",2016-07-10,1074
"388",2016-07-11,1664
"389",2016-07-12,1512
"390",2016-07-13,1435
"391",2016-07-14,1353
"392",2016-07-15,1618
"393",2016-07-16,991
"394",2016-07-17,1026
"395",2016-07-18,2369
"396",2016-07-19,2111
"397",2016-07-20,2972
"398",2016-07-21,7321
"399",2016-07-22,1921
"400",2016-07-23,2139
"401",2016-07-24,824
"402",2016-07-25,1308
"403",2016-07-26,1676
"404",2016-07-27,3074
"405",2016-07-28,1630
"406",2016-07-29,2758
"407",2016-07-30,5155
"408",2016-07-31,2384
"409",2016-08-01,1636
"410",2016-08-02,1449
"411",2016-08-03,4188
"412",2016-08-04,4533
"413",2016-08-05,1224
"414",2016-08-06,1154
"415",2016-08-07,1809
"416",2016-08-08,5266
"417",2016-08-09,1430
"418",2016-08-10,4662
"419",2016-08-11,1556
"420",2016-08-12,3847
"421",2016-08-13,1007
"422",2016-08-14,1037
"423",2016-08-15,4954
"424",2016-08-16,3249
"425",2016-08-17,2602
"426",2016-08-18,1845
"427",2016-08-19,2175
"428",2016-08-20,1525
"429",2016-08-21,1007
"430",2016-08-22,1610
"431",2016-08-23,3518
"432",2016-08-24,6776
"433",2016-08-25,1569
"434",2016-08-26,1598
"435",2016-08-27,1693
"436",2016-08-28,1679
"437",2016-08-29,2946
"438",2016-08-30,1630
"439",2016-08-31,6187
"440",2016-09-01,2477
"441",2016-09-02,1603
"442",2016-09-03,1342
"443",2016-09-04,2212
"444",2016-09-05,6069
"445",2016-09-06,1557
"446",2016-09-07,2740
"447",2016-09-08,3173
"448",2016-09-09,2604
"449",2016-09-10,1492
"450",2016-09-11,1633
"451",2016-09-12,6113
"452",2016-09-13,3260
"453",2016-09-14,3707
"454",2016-09-15,1905
"455",2016-09-16,6077
"456",2016-09-17,7963
"457",2016-09-18,7806
"458",2016-09-19,9242
"459",2016-09-20,1682
"460",2016-09-21,3240
"461",2016-09-22,2117
"462",2016-09-23,4336
"463",2016-09-24,1278
"464",2016-09-25,1194
"465",2016-09-26,3000
"466",2016-09-27,3577
"467",2016-09-28,4396
"468",2016-09-29,4791
"469",2016-09-30,2502
"470",2016-10-01,1235
"471",2016-10-02,1861
"472",2016-10-03,2260
"473",2016-10-04,1876
"474",2016-10-05,3198
"475",2016-10-06,18634
"476",2016-10-07,10271
"477",2016-10-08,3024
"478",2016-10-09,3818
"479",2016-10-10,7004
"480",2016-10-11,4477
"481",2016-10-12,4803
"482",2016-10-13,4051
"483",2016-10-14,4183
"484",2016-10-15,3601
"485",2016-10-16,3457
"486",2016-10-17,5226
"487",2016-10-18,4501
"488",2016-10-19,7807
"489",2016-10-20,4351
"490",2016-10-21,3637
"491",2016-10-22,3179
"492",2016-10-23,3130
"493",2016-10-24,4312
"494",2016-10-25,3721
"495",2016-10-26,4347
"496",2016-10-27,3924
"497",2016-10-28,3619
"498",2016-10-29,3386
"499",2016-10-30,3468
"500",2016-10-31,4136
"501",2016-11-01,3767
"502",2016-11-02,4231
"503",2016-11-03,3089
"504",2016-11-04,2880
"505",2016-11-05,2825
"506",2016-11-06,3021
"507",2016-11-07,4445
"508",2016-11-08,7365
"509",2016-11-09,4988
"510",2016-11-10,3606
"511",2016-11-11,3155
"512",2016-11-12,2852
"513",2016-11-13,2775
"514",2016-11-14,4460
"515",2016-11-15,3852
"516",2016-11-16,5513
"517",2016-11-17,3627
"518",2016-11-18,3499
"519",2016-11-19,3574
"520",2016-11-20,1519
"521",2016-11-21,3734
"522",2016-11-22,2631
"523",2016-11-23,6162
"524",2016-11-24,5286
"525",2016-11-25,3787
"526",2016-11-26,3399
"527",2016-11-27,3344
"528",2016-11-28,8381
"529",2016-11-29,4505
"530",2016-11-30,5991
"531",2016-12-01,3356
"532",2016-12-02,4609
"533",2016-12-03,4311
"534",2016-12-04,4488
"535",2016-12-05,8096
"536",2016-12-06,4909
"537",2016-12-07,5602
"538",2016-12-08,4449
"539",2016-12-09,4887
"540",2016-12-10,4251
"541",2016-12-11,4006
"542",2016-12-12,5064
"543",2016-12-13,4556
"544",2016-12-14,7714
"545",2016-12-15,4355
"546",2016-12-16,4329
"547",2016-12-17,3830
"548",2016-12-18,4690
"549",2016-12-19,8684
"550",2016-12-20,4277
"551",2016-12-21,7833
"552",2016-12-22,5356
"553",2016-12-23,4116
"554",2016-12-24,3741
"555",2016-12-25,3663
"556",2016-12-26,6221
"557",2016-12-27,4294
"558",2016-12-28,7348
"559",2016-12-29,4212
"560",2016-12-30,4377
"561",2016-12-31,3892
"562",2017-01-01,3497
"563",2017-01-02,5225
"564",2017-01-03,4162
"565",2017-01-04,4478
"566",2017-01-05,4326
"567",2017-01-06,4370
"568",2017-01-07,3961
"569",2017-01-08,3345
"570",2017-01-09,3722
"571",2017-01-10,4629
"572",2017-01-11,5923
"573",2017-01-12,4642
"574",2017-01-13,4630
"575",2017-01-14,5377
"576",2017-01-15,3905
"577",2017-01-16,4840
"578",2017-01-17,4302
"579",2017-01-18,6266
